"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 14 09:19:44 GMT 2023","Wed Jun 14 09:19:44 GMT 2023","516","","tourist","","","","Get Tourist by ID",""
"passed","Wed Jun 14 09:19:42 GMT 2023","Wed Jun 14 09:19:43 GMT 2023","513","","tourist","","","","Login with empty credentials",""
"passed","Wed Jun 14 09:19:45 GMT 2023","Wed Jun 14 09:19:45 GMT 2023","577","","tourist","","","","Tourist not found",""
"passed","Wed Jun 14 09:19:42 GMT 2023","Wed Jun 14 09:19:42 GMT 2023","593","","tourist","","","","Login with invalid credentials",""
"passed","Wed Jun 14 09:19:41 GMT 2023","Wed Jun 14 09:19:42 GMT 2023","571","","tourist","","","","Login is successful",""
